rank,title,artist,release,summary,metascore,userscore
5888,Alone in the Universe,Jeff Lynne's ELO,"November 13, 2015","Self-produced, the first release of new music from ELO since 2001's Zoom was completely a one-man project except for Jeff's daughter Laura Lynne on backing vocals.",75,7.4
5889,It's Hard for Me to Say I'm Sorry,Christian Fennesz,"June 24, 2016",The collaboration between Christian Fennesz and Jim O'Rourke is a two-track full-length release.,75,8.0
5890,"When You're Through Thinking, Say Yes",Yellowcard,"March 22, 2011","The Jacksonville, Florida, pop-punk band returns with its seventh album of catchy melodies and sing-along choruses--its first release in almost three years after its reformation in 2010.",75,8.3
5891,The Documentary 2,The Game,"October 9, 2015","A sequel to the rappers debut 2005 album is part one of a double album (The Documentary 2.5 was released October 16th) features guest appearances from such artists as Ab-Soul, Diddy, Dr. Dre, Drake, Fergie, Ice Cube, Kendrick Lamar, Q-Tip, Snoop Dogg, Kanye West, and will.i.am.",75,7.6
5892,Songs for Singles,Torche,"September 21, 2010",The latest release from the Miami-based metal band is its second without guitarist Juan Montoya who left the band in 2008.,75,8.0
5893,Luv Is Rage 2,Lil Uzi Vert,"August 25, 2017",The debut full-length release for the Philadelphia rapper features The Weeknd and Pharrell Williams.,75,7.1
5894,Late Night Feelings,Mark Ronson,"June 21, 2019","The fifth full-length solo studio release for the British producer features guest appearances from Camila Cabello, Miley Cyrus, Diana Gordon, Ilsey, Alicia Keys, King Princess, The Last Artful, Dodgr, Lykke Li, Angel Olsen, and YEBBA.",75,7.9
5895,SremmLife 2,Rae Sremmurd,"August 12, 2016","The second full-length release form the rap brother duo from Mississippi features guest appearances from Gucci Mane, Juicy J,  Kodak Black, and Lil Jon.",75,7.0
5896,Nothing Is Precious Enough For Us,Death Vessel,"August 19, 2008",Joel Thibodeau's sophomore album was recorded in New Jersey and produced by Pete Donnelly.,75,tbd
5897,Ascension,Jesu,"May 10, 2011",This is the first full-length album in more than four years for the British experimental rock band.,75,tbd
5898,Conquistador,Dylan Carlson,"April 27, 2018",The latest solo release for the Earth frontman was recorded by Kurt Ballou.,75,tbd
5899,Lanterns,Son Lux,"October 29, 2013","The third full-length studio release for producer Ryan Lott as Son Lux includes contributions from Gem Club's Ieva Berberian Mutemath's Darren King, Lily & Madeleine, The Antlers' Peter Silberman, DM Stith, The Punch Brothers' Chris Thile, and yMusic.",75,7.8
5901,Electric Slave,Black Joe Lewis,"August 27, 2013",The third release from the Austin soul and blues-rock band includes production from Stuart Sikes and John Congleton on three tracks.,75,tbd
5902,"Rot Gut, Domestic",Margot & the Nuclear So and So's,"March 20, 2012",Jon Congleton produced the fourth album for the indie pop group led by Richard Edwards.,75,tbd
5903,Kudos,Surf City,"January 11, 2011",This is the full-length debut album for the New Zealand indie rock quartet.,75,tbd
5904,The Autumn Defense,The Autumn Defense,"January 9, 2007",This is the third album for the side project of Wilco members Pat Sansone and John Stirratt.,75,7.7
5905,The Minus 5 [The Gun Album],The Minus 5,"February 7, 2006","Scott McCaughey's seventh Minus 5 album includes contributions from members of Wilco, R.E.M., The Decemberists, Ministry, The Posies and more.",75,8.7
5906,Waiting on a Song,Dan Auerbach,"June 2, 2017","The Ohio native (now based in Nashville) worked with such artists as Pat McLaughlin, John Prine, Jerry Douglas, Duane Eddy, Gene Chrisman and Bobby Wood of the Memphis Boys for his second solo release.",75,7.3
5907,Life Death Love and Freedom,John Mellencamp,"July 15, 2008",John Mellencamp latest album was produced by T Bone Burnett who also developed a new audio format promised to help the album sold sound like master tapes.,75,8.1
5908,The New Abnormal,The Strokes,"April 10, 2020",The first new full-length studio release in seven years for the New York rock bad was produced by Rick Rubin.,75,9.1
5909,Golem,Wand,"March 17, 2015",The second full-length release from the Los Angeles-based psych rock band was produced by Chris Woodhouse.,75,tbd
5910,Wait For Love,Pianos Become the Teeth,"February 16, 2018",The fourth full-length release for the Baltimore post-hardcore band was produced by by Will Yip.,75,8.0
5911,Bashed Out,This Is the Kit,"April 7, 2015",The third release for the British folk-rock band led by Kate Stables was produced by Aaron Dessner.,75,tbd
5912,The Physical World,Death from Above 1979,"September 9, 2014",The second full-length studio release for the Canadian duo of Sebastien Grainger and Jesse F. Keeler was produced by Dave Sardy.,75,8.1
5913,Hour of the Dawn,La Sera,"May 13, 2014",The third full-length release for the Katy Goodman's project was produced by guitarist Tod Wisenbaker.,75,7.8
5914,Wreck,Unsane,"March 27, 2012",The seventh release for the New York noise rock band was produced by Andrew Schneider.,75,tbd
5915,Human Hearts,Maritime,"April 5, 2011","The indie rock band from Milwaukee, Wisconsin, releases its fourth full-length album.",75,tbd
5916,The Inevitable Past Is the Future Forgotten,Three Mile Pilot,"September 28, 2010",The San Diego indie rock band returns with its first studio full-length album in more than 13 years.,75,tbd
5917,The Eminem Show,Eminem,"May 28, 2002","Working once again with producer Dr. Dre, Marshall Mathers returns with his third album.",75,9.0
5918,Thrashing thru the Passion,The Hold Steady,"August 16, 2019",The first full-length studio release for the Brooklyn-based rock band in five years was produced by Josh Kaufman.,75,6.8
5919,Reflection,Brian Eno,"January 1, 2017",The latest ambient solo release for the British artist consists of one 54-minute track recorded in one live take.,75,7.6
5920,Mourn,Mourn,"February 17, 2015",The debut full-length release for the Spanish band formed by four teenagers was recorded in two days.,75,7.5
5921,The Scene Between,The Go! Team,"March 24, 2015","The fourth full-length release for the British bedroom project-turned-band sees Ian Parton taking the reins as a solo project once again: writing, producing and performing all the songs with guest vocalists.",75,8.0
5922,OK Human,Weezer,"January 29, 2021",The 14th full-length studio release for the alternative rock band led by Rivers Cuomo was produced by Jake Sinclair.,75,8.3
5923,async: Remodels,Ryuichi Sakamoto,"February 16, 2018","Alva Noto, Arca, Cornelius, Electric Youth, Fennesz, Jóhann Jóhannsson, Motion Graphics, Oneohtrix Point Never, Andy Stott, S U R V I V E and Yves Tumor remixed some of the tracks from Ryuichi Sakamoto's 2017 release.",75,tbd
5924,Ensemble Pearl,Ensemble Pearl,"March 19, 2013","Sunn 0)))'s Stephen O'Malley is joined by Michio Kurihara of Ghost, Boris drummer Atsuo, and William Herzog from Jesse Sykes & the Sweet Hereafter, plus Eyvind Kang and Timba Harris on Ensemble Pearl's debut release.",75,tbd
5925,More Adventurous,Rilo Kiley,"August 17, 2004","The Los Angeles indie-rockers make their major label debut with 'More Adventurous.' In the two years since their previous outing together, the band's Jenny Lewis contributed vocals to the debut from the Postal Service, while Blake Sennett and Jason Boesel released an album from their own side project, The Elected.",75,8.7
5926,Hotspot,Pet Shop Boys,"January 24, 2020",The 14th full-length studio release for the British synth-pop duo features a guest appearances from Years & Years and was produced by Stuart Price.,75,7.6
5927,808s & Heartbreak,Kanye West,"November 25, 2008","The fourth album for the Grammy-winning rapper features Young Jezzy, Lil Wayne, Mr. Hudason, and Kid Cudi.",75,7.8
5928,Rock or Bust,AC/DC,"December 2, 2014","The 16th full-length studio release for the Australian hard rock band was produced by Brendan O’Brien and its first with Stevie Young, who took over his uncle's role in 2014.",75,8.0
5929,Lovesick Blues,Chris Stamey,"February 5, 2013",The first solo album in nearly eight years for the dB's Chris Stamey includes acoustic arrangements.,75,tbd
5930,Stronger With Each Tear,Mary J. Blige,"December 21, 2009","The latest album for the R&B singer features guest performers Drake, T.I., and Trey Songz as well as a song from the film ""Precious.""",75,8.0
5931,Partie Traumatic,Black Kids,"July 22, 2008","The quintet from Jacksonville, Florida, releases its debut album produced by Bernard Butler.",75,6.4
5932,Honeyblood,Honeyblood,"July 15, 2014",The debut full-length release for the Scottish indie pop duo of Stina Tweeddale and Shona McVicar was produced by Peter Katis.,75,7.2
5933,Slow Summits,The Pastels,"May 28, 2013",The first release since 1997’s Illumination for the Scottish indie pop band was produced by John McEntire and includes guest appearances from the Tenniscoats; Norman Blake and Gerard Love of Teenage Fanclub; and Stefan Schneider and Ronald Lippok of To Rococo.,75,tbd
5934,Mirror II,The Goon Sax,"July 9, 2021",The third full-length release for the Australian trio was recorded in Bristol by producer John Parish.,75,tbd
5935,Arrow,Noveller,"June 12, 2020",The ninth full-length release for Sarah Lipstate as Noveller was recorded in Los Angeles.,75,tbd
5936,Heza,Generationals,"April 2, 2013",The third full-length studio release for the New Orleans-based duo of Grant Widmer and Ted Joyner is the first album on the Polyvinyl label.,75,8.5
5937,Weird Sister,Joanna Gruesome,"September 10, 2013",The debut release for the Welsh noise pop band was produced by MJ of the Hookworms.,75,tbd
5938,The Incredible True Story,Logic,"November 13, 2015","The second full-length studio release for the Maryland rapper features guest appearances from Big Lenbo, Jesse Boykins III, Dria, and Lucy Rose.",75,8.1
5939,Woman,Jill Scott,"July 24, 2015","The fifth full-length studio release for the R&B/soul singer features production from 9th Wonder, David Banner, and Andre ""Dre"" Harris.",75,8.1
5940,No Coast,Braid,"July 8, 2014",The first full-length studio release from the emo band in 16 years was produced by Will Yip.,75,6.7
5941,Morgan Delt,Morgan Delt,"January 28, 2014",The debut full-length release for the California indie pop singer-songwriter was influenced by 1960s music.,75,7.4
5942,The Blue Depths,Odawas,"February 17, 2009","The latest album from the Indiana rock duo, now based in Berkeley, California.",75,tbd
5943,Out My Window,Koushik,"September 30, 2008",This is the debut album for the Candian producer/DJ.,75,tbd
5944,Pay The Devil,Van Morrison,"March 7, 2006",The singer-songwriter takes a stab at country music with this collection of a dozen covers and three originals.,75,6.8
5945,Fever Breaks,Josh Ritter,"April 26, 2019",The 10th full-length studio release for the singer-songwriter was produced by Jason Isbell and features contributions from Amanda Shires and members of Isbell's the 400 Unit.,75,6.5
5946,Permo,Spinning Coin,"November 10, 2017",The debut full-length release for the Scottish indie pop band was produced by Edwyn Collins.,75,tbd
5947,The Deepest Lake,Dengue Fever,"January 27, 2015",The sixth full-length release for the Los Angels group was self-produced.,75,tbd
5948,Palme,Gunnar Örn Tynes,"September 29, 2014",The Icelandic singer-songwriter worked with Gunnar Orn Tynes of mum and Skuli Sverrisson on her fourth full-length release.,75,tbd
5949,The Mystery of Heaven,Jozef Van Wissem,"November 13, 2012",This is the second release for the year from the collaboration between Jozef Van Wissem and guitarist Jim Jarmusch.,75,tbd
5950,In Ferneaux,Blanck Mass,"February 26, 2021",The latest release for Benjamin John Power's solo electronic project features two 20-minutes long tracks.,75,5.0
5951,Spectre,Laibach,"March 11, 2014",The latest release for the Slovenian group includes three songs originally released on its 2013 EP S.,75,tbd
5952,Love Your Dum and Mad,Nadine Shah,"July 23, 2013",The debut full-length release for the British singer-songwriter was produced by Ben Hillier.,75,8.8
5953,Wild Onion,Twin Peaks,"August 5, 2014",The second full-length release for the Chicago rock band was produced with R. Andrew Humphrey and Colin Croom.,75,8.0
5954,Gallipoli,Beirut,"February 1, 2019",The fifth full-length release for the indie folk band led by Zach Condon was produced by Gabe Wax.,75,7.5
5955,Please Don't Be Dead,Fantastic Negrito,"June 15, 2018",The follow-up to the Oakland artist's Grammy Award-winning 2016 release was influenced in part by divisive political and social issues.,75,tbd
5956,Brand New Abyss,The Blow,"September 22, 2017",This is the second full-length release for the Washington state electro-pop duo of Khaela Maricich and Melissa Dyne.,75,tbd
5957,Government Plates,Death Grips,"November 13, 2013",The third full-length studio release for the experimental rap group was self-released and posted as a free download. It was official release on iTunes on 14 January 2014.,75,7.3
5958,Go Easy,Blank Realm,"May 14, 2013","The third release for the Brisbane, Australian band is a mix of pop and psychedelic rock.",75,tbd
5959,Flockaveli,Waka Flocka Flame,"October 5, 2010",The rapper who worked with Gucci Mane on a few mixtapes releases his first official album.,75,7.0
5960,Hymn To The Immortal Wind,Mono,"March 24, 2009",The fifth album for the Japanese experimental rock band was produced by Steve Albini.,75,8.8
5961,One Armed Bandit,Jaga Jazzist,"February 23, 2010",The Norwegian group led by Lars Horntveth continues its jazz fusion of music styles on its latest album.,75,8.5
5962,H-P1,White Hills,"June 20, 2011",The latest album for the Brooklyn rock band led by Dave W. features a 17-minute-long track.,75,tbd
5963,Ce,Caetano Veloso,"January 23, 2007","The Brazilian superstar takes a stab at rock, backed by a much younger band and co-production by his son, Moreno.",75,8.0
5964,Social Cues,Cage the Elephant,"April 19, 2019","John Hill produces the Kentucky alt-rock band's fifth album, which features a collaboration with Beck.",75,8.4
5965,Allo Darlin',Allo Darlin',"October 5, 2010",The debut album for the London based indie pop band includes two Australian and two British members.,75,tbd
5966,ACCA,Ala.Ni,"January 31, 2020",The second full-length release for the Paris-based British singer features guest appearances from Iggy Pop and Lakeith Stanfield.,75,tbd
5967,Unfurl,Ry X,"February 15, 2019","This is the second full-length release for the Australian, LA-based singer-songwriter.",75,7.8
5968,Vaxis - Act I: The Unheavenly Creatures,Coheed and Cambria,"October 5, 2018",The Amory Wars epic continues in the self-produced ninth full-length studio release for the progressive rock band.,75,7.2
5969,Writing of Blues & Yellows,Billie Marten,"September 23, 2016",The debut full-length release for the British singer-songwriter was produced by Rich Cooper and Cam Blackwood.,75,8.1
5970,Adventure,Shonen Knife,"April 1, 2016",The latest release for the Japanese pop-punk band sees the return of original drummer Atsuko Yamano.,75,tbd
5971,Each Other,Aidan Knight,"January 22, 2016",The third full-length release for the Canadian singer-songwriter was produced by Marcus Paquin.,75,tbd
5972,Mess,Liars,"March 25, 2014","The seventh full-length release for the rock trio was produced by band member, Angus Andrew.",75,8.1
5973,Shout!,Gov't Mule,"September 24, 2013","The first release on the Blue Note label for the jam band is a double album with the second disc of the same songs as the first disc with guest singers including Elvis Costello, Dr. John, Toots Hibbert, Glenn Hughes, Ben Harper, Jim James, Myles Kennedy, Dave Matthews, Grace Potter, Ty Taylor, and Steve Winwood.",75,tbd
5974,Vapor Trails,Rush,"May 14, 2002","Canada's favorite prog rockers return with their first album of new material in six years, eh.",75,8.3
5975,Rome,Daniele Luppi,"May 17, 2011","Inspired by Italian film scores from the 1960s and featuring guest vocalists Norah Jones and Jack White, Rome is producer Danger Mouse's pet project with Daniele Luppi.",75,7.7
5976,Froot,Marina and the Diamonds,"March 16, 2015",The third full-length studio release for the Welsh artist was recorded with a live band.,75,8.9
5977,Dignity And Shame,Crooked Fingers,"February 22, 2005","Velocity Girl's Sarah Shannon guests on Eric Bachmann's fourth Crooked Fingers release, which was co-produced by Martin Feveyear.",75,8.1
5978,Long.Live.A$AP,A$AP Rocky,"January 15, 2013","2 Chainz, Action Bronson, Big K.R.I.T., Danny Brown, Drake, Joey Bada$$, Kendrick Lamar, Santigold, Schoolboy Q, Skrillex, and Yelawolf guest on the official debut studio release for the New York rapper.",75,7.8
5979,There Is No End,Tony Allen,"April 30, 2021","The posthumous release from the drummer features beats recorded before he passed away in 2020 and completed by producer Vincent Taeger and co-producer Vincent Taurelle with vocals from Nate Bone, Danny Brown, Nah Eeto, Jeremiah Jae, Koreatown Oddity, Lava La Rue, Lord Jah-Monte Ogbon, Marlowe, Ben Okri, Sampa The Great, Skepta, Tsunami, and Zelooperz.",75,tbd
5980,Quit the Curse,Anna Burch,"February 2, 2018",The debut full-length solo release for the Frontier Ruckus/Failed Flowers member was mixed by Collin Dupuis.,75,8.2
5981,Built on Glass,Chet Faker,"April 15, 2014","This is the debut full-length release for the Australian producer, songwriter, and singer Nick Murphy.",75,7.9
5982,Radical Connector,Mouse on Mars,"August 24, 2004","The German elecronica duo of Andi Toma and Jan St. Werner are back with their first LP in three years, combining distorted vocals and samples with their glitchy yet melodic--and sometimes even humorous--instrumentation.",75,tbd
5983,Sorry I Make You Lush,Wagon Christ,"July 13, 2004",Wagon Christ is the alter-ego of prolific English electronica artist Luke Vibert (who also records under his own name and Plug).,75,tbd
5984,The Cure,The Cure,"June 29, 2004","The follow-up to 2000's 'Bloodflowers' sees Robert Smith & co. working with metal producer Ross Robinson (Limp Bizkit, Korn) for the first time (and apparently, he ate up so much of the recording budget that they couldn't afford an album cover artist).",75,7.6
5985,Voice Of Treason,Soledad Brothers,"August 11, 2003","If you think the concept of a guitar-drums blues duo from Detroit sounds a bit, well, familiar, consider this: Soledad Brothers guitarist Johnny Walker allegedly is responsible for teaching the White Stripes' Jack White how to play guitar. This is the Brothers' third studio LP.",75,tbd
5986,Strays,Jane's Addiction,"July 22, 2003",A reunited Jane's Addiction (sans bassist Eric Avery) is back with their first studio recording in 13 years.,75,8.8
5987,L' Avventura,Britta Phillips and Dean Wareham,"June 3, 2003","Bassist Britta Phillips and guitarist Dean Wareham (each a member of the band Luna) offer a mix of originals and covers, including takes on songs by Madonna, the Silver Jews and the Doors, all produced by Tony Visconti (David Bowie, T. Rex).",75,8.3
5988,Ego War,Audio Bullys,"June 3, 2003","Already being heralded as 2003's version of The Streets, the suburban London duo who compose the Audio Bullys combine everything from punk, ska, new wave, and house on this debut.",75,7.8
5989,Beauty Party,The Majesticons,"February 25, 2003","'Beauty Party' represents experimental hip-hop artist Mike Ladd's second album in a planned trilogy, the first being 2000's 'Gun Hill Road' by The Infesticons. Unlike its predecessor, the Majesticons disc ventures into commercial rap territory (albeit with a satirical bent), attempting to skewer contemporary hiphop by beating it at its own game.",75,tbd
5990,Amore del Tropico,The Black Heart Procession,"October 8, 2002","The San Diego-based band returns with their fourth album of dark, atmospheric music, following previous albums '1,' '2,' and, yes, '3' (c'mon guys, what happened to '4?'). This one is a concept album of sorts, about a murder mystery.",75,tbd
5991,Musique Automatique,Stereo Total,"October 8, 2002","This is the fifth LP for the French-pop-influenced,  Berlin-based duo of Francoise Cactus and Brezel Goring.",75,tbd
5992,Star Kitty's Revenge,Joi,"March 19, 2002",This is the third solo album (and first since 1996) for neo-soul singer Joi Gilliam.,75,tbd
5993,4 Your Eyez Only,J. Cole,"December 9, 2016","The fourth full-length studio release for the North Carolina hip-hop artist includes co-production with such producers as Elite, Cardiak, Chargaux, Ron Gilmore, and Elijah Scarlett.",75,7.6
5994,Strange Little Birds,Garbage,"June 10, 2016",The sixth full-length release for the alternative rock band led by Shirley Manson was produced by Billy Bush.,75,8.0
5995,We Are Nots,Nots,"November 13, 2015",This is the debut full-length release for the Memphis band that includes former Ex-cult bassist Natalie Hoffmann.,75,tbd
5996,Hospitality,Hospitality,"January 31, 2012",The debut full-length release for the Brooklyn indie pop band includes some tracks from its 2008 EP of the same name.,75,8.0
6001,I Sold Gold,Aqueduct,"January 25, 2005",This is the second full-length for the Seattle-based band which consists solely of David Terry (and his drum machine) and has drawn comparisons to Grandaddy and the Flaming Lips.,75,8.0
6002,Coming Apart,Body/Head,"September 10, 2013",The debut full-length release for Kim Gordon's post-Sonic Youth project is with guitarist Bill Nace.,75,7.0
6003,Muzz,Muzz,"June 5, 2020","This is the debut full-length release for the indie rock project that includes Interpol's Paul Banks, The Walkmen's Matt Barrick, and Bonny Light Horseman's Josh Kaufman.",75,8.7
6004,Big Music,Simple Minds,"November 24, 2014","The 16th studio release for the Scottish pop band features production from Gavin Goldberg, Steve Hillage, Steve Osborne, Owen Parker, and Andy Wright.",75,8.8
6005,III,Bo Ningen,"May 20, 2014",The third release for the London-based Japanese quartet features King Midas Sound's Roger Robinson and Savages' Jehnny Beth.,75,8.2
6006,The  Dissent of Man,Bad Religion,"September 28, 2010",Joe Barresi produced the latest album for the southern California punk band who celebrates its 30th anniversary in 2010.,75,8.7
6007,The Creatures In The Garden Of Lady Walton,Clogs,"March 2, 2010","This is the first non-instrumental album for the group and features My Brightest Diamond's Shara Worden, The National's Matt Berninger, and Sufjan Stevens as guest singers. The songs were written in 2005 while Padma Newsome was working in Italy.",75,8.3
6008,Immolate Yourself,Telefon Tel Aviv,"February 3, 2009","This is the third album for the Chicago-based duo of Josh Eustis and Charlie Cooper (who passed away on January 22, 2009).",75,8.5
6009,Friendly Fires,Friendly Fires,"September 23, 2008",The debut full-length album for the British trio was self-produced.,75,8.1
6010,Gem,U.S. Girls,"October 23, 2012",The fourth release for singer-songwriter Meghan Remy was produced by Slim Twig.,75,tbd
6011,"I Like It When You Sleep, For You Are So Beautiful Yet So Unaware of It",The 1975,"February 26, 2016",The second full-length release for the British alternative rock band was produced by Mike Crossey.,75,8.2
6012,Sasami,Sasami,"March 8, 2019",The debut full-length solo release for the former member of Cherry Glazerr was recorded by Thomas Dolas and her brother JooJoo Ashworth.,75,7.3
6013,Milk Famous,White Rabbits,"March 6, 2012",The White Rabbits switch from Spoon's Britt Daniel to Mike McCarthy for production duties on its latest album.,75,7.3
6014,Bliss Release,Cloud Control,"May 23, 2011",The Australian psychedelic rock band's debut album won the Australian Music Prize award when the album was released in its native land in 2010.,75,8.0
6015,Lost Themes III: Alive After Death,John Carpenter,"February 5, 2021",Director/composer John Carpenter returns with son Cody Carpenter and godson Daniel Davies on his first non-soundtrack release in five years.,75,tbd
6016,King Tuff,King Tuff,"May 28, 2012",The second release for King Tuff was produced by Bobby Harlow and is his first on the Sub Pop label.,75,8.3
6017,Broken Boy Soldiers,The Raconteurs,"May 16, 2006","'Soldiers' marks the debut for the new band consisting of the White Stripes' Jack White, fellow Detroit musician Brendan Benson, and members of the Greenhornes.",75,8.0
6018,The  Canyon,The Used,"October 27, 2017",The seventh full-length studio release for the Utah rock band was influenced by the death of Rob McCracken's friend and was produced by Ross Robinson.,75,7.4
6019,Seeing Things,Jakob Dylan,"June 10, 2008",The Wallflowers' lead singer releases his debut solo album.,75,8.4
6020,Brown Submarine,Boston Spaceships,"September 16, 2008",Guided by Voices' Robert Pollard and Chris Slusarenko and Decemberists' John Moen release their debut album as the Boston Spaceships.,75,tbd
6021,With Strings Live At Town Hall,Eels,"February 21, 2006","This 22-song live recording (taped at a New York City show in June, 2005) finds Mark Oliver Everett backed by a variety of instrumentalists and, yes, a string quartet.",75,8.5
6022,Eraserland,Strand of Oaks,"March 22, 2019","The sixth full-length release for Timothy Showalter as Strand Of Oaks features contributions from My Morning Jacket’s Tom Blankenship, Carl Broemel, Patrick Hallahan, Bo Koster, as well as Jason Isbell.",75,7.5
6023,The Double Cross,Sloan,"May 10, 2011",The Canadian rock band's 10th album was released on the 20th anniversary of its first show.,75,tbd
6024,How About I Be Me (And You Be You)?,Sinéad O'Connor,"February 21, 2012","The Irish singer-songwriter's ninth studio album was produced by her first husband, John Reynolds.",75,8.2
6025,The Other,King Tuff,"April 13, 2018","The fourth full-length release for Kyle Thomas as King Tuff was self-produced and features contributions from Mikal Cronin, Jenny Lewis, Charles Moothart Kevin Morby, Greta Morgan, and Ty Segall.",75,8.0
6026,Czarface Meets Metal Face,Czarface/MF Doom,"March 30, 2018","The first full-length collaboration between Czarface [Wu-Tang Clan's Inspectah Deck and 7L & Esoteric] and MF Doom features guest appearances from Kendra Morris, Open Mike Eagle and Vinnie Paz.",75,7.7
6027,Glass,Illum Sphere,"November 11, 2016",This is the second full-length release for Ryan Hunn as Illum Sphere.,75,tbd
6028,Kamikaze,The So So Glos,"May 20, 2016",The third full-length release for the Brooklyn punk rock band was produced by John Reis.,75,tbd
6029,Olympic Mess,Helm,"June 23, 2015","The fourth full-length release for London-based experimental artist  Luke Younger was inspired by balearic disco, industrial, and dub techno music.",75,tbd
6030,The MF Life,Melanie Fiona,"March 20, 2012","The second album for the R&B/soul Canadian singer features guest appearances by J. Cole, B.o.B, John Legend, and T-Pain.",75,8.8
6031,A Flash Flood of Colour,Enter Shikari,"January 17, 2012",The third album for the British band was produced by Dan Weller.,75,8.5
6032,Our Thickness,The Russian Futurists,"May 3, 2005",Mathew Adam Hart's quirky one-man bedroom-pop band (think Magnetic Fields) returns with a third album.,75,7.7
6033,Romance Is Boring,Los Campesinos!,"January 26, 2010","The latest album for the Welsh rock band was recorded in Connecticut and Seattle, with Xiu Xiu's Jamie Stewart, Parenthetical Girls' Zac Pennington, and Dead Science's Jherek Bischoff appearing as guests.",75,8.2
6034,Sound Kapital,Handsome Furs,"June 28, 2011",The music project of Wolf Parade's Dan Boeckner and his wife Alexei Perry releases a third album influenced by Eastern European synthesizer sounds and noise pop.,75,7.4
6035,Go to School,The Lemon Twigs,"August 24, 2018",The second full-length release for Brian and Michael D'Addario is a concept musical album about a chimpanzee named Shane raised a human boy and features guest appearances from Todd Rundgren and the D'Addario brothers' mother.,75,7.8
6036,"Fingers, Bank Pads and Shoe Prints",RP Boo,"June 30, 2015",This is the second full-length release for the Chicago footwork artist who is considered the founder of the style.,75,tbd
6037,Sunlit Youth,Local Natives,"September 9, 2016","The third full-length release for the Los Angeles indie rock band was recorded in Hawaii, Malaysia, Nicaragua, Ojai, and Thailand.",75,8.3
6038,Outrun,Kavinsky,"February 26, 2013","The concept behind the full-length debut release from the French house producer Vincent Belorgay is how a man who crashed his Ferrari Testarossa in 1986, arises as a zombie in 2006 to make music and race cars.",75,8.4
6039,A Certain Trigger,Maxïmo Park,"May 31, 2005","A somewhat unusual signing for Warp Records, the guitar-oriented Maximo Park (who sound not unlike a cross between the Futureheads and Franz Ferdinand) make their full-length debut with this Paul Epworth-produced disc.",75,8.7
6040,The Switch,Body/Head,"July 13, 2018",This is the second full-length studio release for Kim Gordon's post-Sonic Youth project with guitarist Bill Nace.,75,6.0
6041,The 20/20 Experience,Justin Timberlake,"March 19, 2013","The third solo release for the pop singer is his first in nearly seven years and was produced by Timbaland (two tracks with Timberlake and Jerome ""J-Roc"" Harmon).",75,8.6
6042,Wire,Wire,"April 21, 2015",This is the 14th studio release for the British post-punk band led by Colin Newman.,75,8.0
6043,The Mutt's Nuts,Chubby and the Gang,"August 27, 2021",The second full-length release for the London-based punk band led by Charlie Manning Walker was produced by Fucked Up's Jonah Falco.,75,tbd
6044,Not Dark Yet,Shelby Lynne,"August 18, 2017",The debut full-length collaboration between sisters Shelby Lynne and Allison Moorer features one original co-written song and was produced by Teddy Thompson.,75,tbd
6045,Long Enough to Leave,Mantles,"June 18, 2013",The second full-length release for the San Francisco Bay Area garage-pop band was produced by Kelley Stoltz.,75,tbd
6046,Detours,Sheryl Crow,"February 5, 2008","Sheryl Crow returns from an eventful few years with her latest record produced by Brian Bottrell, who also produced her debut.",75,7.8
6047,Kurr,Amiina,"June 19, 2007",The Icelandic group known for touring with Sigur Ros releases their debut album.,75,8.0
6048,Big Wheel and Others,Cass McCombs,"October 15, 2013","The seventh full-length release for the indie singer-songwriter is a 22-track double-album featuring blues, country, folk, and jazz styles.",75,8.0
6049,A Wasteland Companion,M. Ward,"April 10, 2012","M. Ward returns with his solo album featuring such guests as Howe Gelb of Giant Sand, Toby Leaman of Dr. Dog, Tom Hagerman of Devotchka, Mike Mogis of Bright Eyes, Steve Shelley of Sonic Youth, and She & Him collaborator Zooey Deschanel.",75,6.7
6050,Meat + Bone,The Jon Spencer Blues Explosion,"September 18, 2012",The first release in eight years from the blues-rock trio was produced by frontman Jon Spencer.,75,8.3
6051,Hyacinth,Spinning Coin,"February 21, 2020","The second full-length release for the Glasgow-based indie rock band is the first with Rachel Taylor, who took over for the departing Cal Donnelly.",75,tbd
6052,All-Amerikkkan Bada$$,Joey Bada$$,"April 7, 2017","The second full-length studio release for the New York rapper features guest appearances from Chronixx, Nyck Caution, Meechy Darko, J. Cole, Kirk Knight, Schoolboy Q, and Styles P.",75,8.1
6053,Lament,Einstürzende Neubauten,"November 10, 2014",The German industrial band's latest release is music planned for a live performance commissioned by the city Diksmuide to commemorate the 100 year anniversary of the start of the First World War.,75,tbd
6054,Pura Vida Conspiracy,Gogol Bordello,"July 23, 2013",The sixth full-length release for the gypsy punk band led by Eugene Hütz was produced by Andrew Scheps.,75,8.3
6055,Provider,Bry Webb,"October 2, 2012",This is the US release of the debut solo album for the Constantines frontman.,75,tbd
6056,Rooster Rag,Little Feat,"June 26, 2012",The blues rock band returns with its first new album in nine years.,75,tbd
6057,The  Old Magic,Nick Lowe,"September 13, 2011","Growing older is the major theme of Nick Lowe's latest release, coproduced by Neil Brockbank and Robert Treherne.",75,7.6
6058,Weareallgoingtoburninhellmegamixxx3,Jaime Meline,"August 3, 2010","With a follow-up to his 2007 I'll Sleep When You're Dead still in the works, El-P releases an album of instrumental tracks.",75,8.5
